dia_de_semana,hora,linea,estacion,trx_promedio
False,6,H,VENEZUELA,5.545454545454546
False,7,A,ACOYTE,5.596899224806202
False,7,A,ALBERTI,5.326530612244898
False,7,A,CARABOBO,5.48936170212766
False,7,A,CASTRO BARROS,5.588888888888889
False,7,A,CONGRESO,7.635416666666667
False,7,A,FLORES,7.9375
False,7,A,LIMA,5.160919540229885
False,7,A,LORIA,6.0777777777777775
False,7,A,PASCO,3.215686274509804
False,7,A,PERU,3.231578947368421
False,7,A,PIEDRAS,4.872340425531915
False,7,A,PLAZA DE MAYO,11.052631578947368
False,7,A,PLAZA MISERERE,8.354609929078014
False,7,A,PRIMERA JUNTA,11.620253164556962
False,7,A,PUAN,4.927536231884058
False,7,A,RIO DE JANEIRO,7.247058823529412
False,7,A,SAENZ PEÃÂÃÂ±A ,5.0
False,7,A,SAN PEDRITO,10.696517412935323
False,7,B,ANGEL GALLARDO,7.91919191919192
False,7,B,CALLAO.B,6.0
False,7,B,CARLOS GARDEL,6.1909090909090905
False,7,B,CARLOS PELLEGRINI,12.431372549019608
False,7,B,DORREGO,4.621848739495798
False,7,B,ECHEVERRIA,5.013333333333334
False,7,B,FEDERICO LACROZE,10.296416938110749
False,7,B,FLORIDA,2.740740740740741
False,7,B,LEANDRO N. ALEM,10.916030534351146
False,7,B,LOS INCAS,6.857142857142857
False,7,B,MALABIA,7.59375
False,7,B,MEDRANO,9.941176470588236
False,7,B,PASTEUR,4.046511627906977
False,7,B,PUEYRREDON,6.08411214953271
False,7,B,ROSAS,11.13953488372093
False,7,B,TRONADOR,5.839285714285714
False,7,B,URUGUAY,3.489130434782609
False,7,C,AVENIDA DE MAYO,6.352941176470588
False,7,C,CONSTITUCION,30.79767441860465
False,7,C,DIAGONAL NORTE,1.875
False,7,C,GENERAL SAN MARTIN,3.4642857142857144
False,7,C,INDEPENDENCIA,6.142857142857143
False,7,C,LAVALLE,5.490909090909091
False,7,C,MARIANO MORENO,2.25
False,7,C,RETIRO,21.80808080808081
False,7,C,SAN JUAN,6.196078431372549
False,7,D,9 DE JULIO,3.625
False,7,D,AGÃÂÃÂ¼ERO,9.629032258064516
False,7,D,BULNES,7.691489361702128
False,7,D,CALLAO,6.217391304347826
False,7,D,CATEDRAL,5.0095238095238095
False,7,D,CONGRESO DE TUCUMAN,7.258503401360544
False,7,D,FACULTAD DE MEDICINA,4.555555555555555
False,7,D,JOSE HERNANDEZ,4.796747967479675
False,7,D,JURAMENTO,6.456
False,7,D,MINISTRO CARRANZA,6.989473684210527
False,7,D,OLLEROS,5.13
False,7,D,PALERMO,15.95959595959596
False,7,D,PLAZA ITALIA,9.709677419354838
False,7,D,PUEYRREDON.D,6.3090909090909095
False,7,D,SCALABRINI ORTIZ,7.322222222222222
False,7,D,TRIBUNALES,4.037037037037037
False,7,E,AVENIDA LA PLATA,5.694915254237288
False,7,E,BOEDO,4.589285714285714
False,7,E,BOLIVAR,3.5925925925925926
False,7,E,CATALINAS,1.425
False,7,E,CORREO CENTRAL,2.1818181818181817
False,7,E,EMILIO MITRE,7.416666666666667
False,7,E,ENTRE RIOS,5.310344827586207
False,7,E,GENERAL BELGRANO,3.4375
False,7,E,INDEPENDENCIA.H,4.352112676056338
